,proba_m1,proba_m2,bayes_factor,scale1,scale2,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,comparison,group1,group2
FRMD4B,0.8762,0.12380000000000002,1.9569269457667806,0.002590335,0.0013380386,0.9940562,0.27188864,0.4955401387512427,0.14201451905625528,28.323088,11.642078,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
NKAIN3,0.8754,0.12460000000000004,1.9495722495699725,0.00017997641,7.7951845e-05,0.09316158,0.020871155,0.06442021803766104,0.014575771324863936,2.1561537,0.9968264,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
REC114,0.8748,0.12519999999999998,1.9440827616955976,0.0006208324,0.00011994225,0.24876106,0.028414324,0.15460852329038588,0.024784482758620795,6.430479,1.2126844,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
PPP1R3C,0.8678,0.13219999999999998,1.8816452818270948,0.0022020806,0.0005861671,0.87215215,0.23990253,0.38156590683845537,0.10208711433756423,22.93156,6.404398,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
MAPK4,0.8646,0.13539999999999996,1.8540335494661582,0.0015589086,0.00043359332,0.66105145,0.1581766,0.31813676907829547,0.09726633393829046,15.419694,4.3702664,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
MYO18B,0.8598,0.1402,1.8136297697656296,0.008202695,0.0022390203,4.2170534,0.9839154,0.7324083250743398,0.2603788566243118,86.01531,25.418385,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
PRELID2,0.8596,0.14039999999999997,1.811971613584894,0.0052873516,0.002008404,2.1704717,0.71830755,0.6045589692765175,0.1908461887477226,53.80892,20.04649,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
ADAM19,0.8594,0.14059999999999995,1.8103154324766029,0.0016285145,0.00045063157,0.7601603,0.13594463,0.3666997026759179,0.08966651542649415,17.220972,5.69128,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
GJA5,0.8536,0.14639999999999997,1.763120041869413,0.00022854915,9.080775e-05,0.10208134,0.039757244,0.08225966303270552,0.021211433756805894,3.0060234,1.0816528,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
ME1,0.8524,0.14759999999999995,1.7535499320389965,0.0010374433,0.000479356,0.4331014,0.18273425,0.285431119920713,0.08841878402903505,10.874309,4.911814,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
ATP6V0D2,0.8516,0.14839999999999998,1.7472055466432042,2.0902215e-05,6.8111176e-06,0.007928642,0.0021551726,0.007928642220019821,0.0018148820326678774,0.19573513,0.094380915,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
ACTC1,0.8516,0.14839999999999998,1.7472055466432042,0.013004934,0.0041627185,6.204158,1.3622497,0.8265609514370772,0.38067150635213165,152.28838,46.122196,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
SSUH2,0.8498,0.1502,1.7330332335402576,0.00020336764,7.738818e-05,0.068384536,0.028811319,0.06442021803766104,0.02342332123411988,2.3728712,0.8332298,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
C4orf54,0.8496,0.15039999999999998,1.7314671842528206,6.626368e-05,1.8615407e-05,0.06342913,0.009925137,0.02081268582755203,0.005047640653357534,0.70127535,0.19680177,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
ANKRD45,0.8476,0.15239999999999998,1.7159001293228204,8.6365995e-05,1.5175478e-05,0.062438052,0.0039700535,0.010901883052527254,0.0017581669691470062,1.1916783,0.104213946,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
KRT19,0.8466,0.15339999999999998,1.7081793857765755,3.5615074e-05,1.412209e-05,0.011892962,0.00794011,0.010901883052527254,0.004140199637023591,0.3312478,0.23072435,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
DUSP27,0.8452,0.15480000000000005,1.6974392718183124,0.0017084983,0.0005337409,0.931617,0.21126103,0.33696729435084294,0.12080308529945066,16.02941,5.7065434,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
AC131009.2,0.845,0.15500000000000003,1.6959114577561196,1.2581556e-05,4.0004998e-06,0.003964321,0.0011343012,0.003964321110009911,0.0007940108892921957,0.11366679,0.048469834,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
DNAJA4,0.8446,0.15539999999999998,1.6928606520561582,0.00030688834,0.00012766788,0.14667995,0.06794434,0.11793855302279446,0.04650635208711362,3.5425122,1.4578854,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
ITLN1,0.8438,0.1562,1.6867782101153177,0.00036463016,4.867727e-05,0.11000999,0.043216877,0.0792864222001981,0.008734119782214177,3.4995036,1.3825518,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
GNB5,0.8408,0.1592,1.6641924952318252,0.00038136155,0.00015844355,0.14767104,0.036694653,0.12487611496531176,0.03090970961887491,4.1323833,1.659243,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
